%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100082.351,301.922,1.155,19.922,229.156,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.786,-0.002,535.048,336.269
100086.379,301.916,1.155,19.928,229.314,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.736,-0.000,535.048,336.269
100094.435,301.916,1.155,19.931,229.393,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.756,0.000,535.048,336.269
100086.379,301.914,1.155,19.921,229.156,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.776,-0.002,535.048,336.269
100078.323,301.914,1.155,19.915,228.999,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.756,-0.000,535.048,336.269
100082.351,301.912,1.155,19.908,228.841,-0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.017,0.766,-0.002,535.048,336.269
100082.351,301.909,1.155,19.911,228.920,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.766,-0.000,535.048,336.269
100094.435,301.917,1.155,19.914,228.999,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.776,-0.000,535.048,336.269
100094.435,301.917,1.155,19.903,228.762,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.786,0.001,535.048,336.269
100106.519,301.916,1.155,19.909,228.920,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.756,-0.000,535.048,336.269
100090.407,301.916,1.155,19.907,228.841,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.766,-0.001,535.048,336.269
100090.407,301.914,1.155,19.900,228.683,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.766,-0.002,535.048,336.269
100086.379,301.912,1.155,19.897,228.604,-0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.766,-0.001,535.048,336.269
100078.323,301.908,1.155,19.894,228.525,-0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.776,-0.001,535.048,336.269
100086.379,301.911,1.155,19.887,228.367,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.766,-0.002,535.048,336.269
100086.379,301.919,1.155,19.897,228.604,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.766,-0.001,535.048,336.269
100082.351,301.919,1.155,24.978,360.234,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.193,-0.001,535.048,336.269
100082.351,301.919,1.155,24.980,360.313,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.173,-0.001,535.048,336.269
100070.267,301.912,1.155,24.987,360.471,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.193,-0.001,535.048,336.269
100066.239,301.916,1.155,24.980,360.234,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.203,-0.001,535.048,336.269
100066.239,301.916,1.155,24.982,360.313,0.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.183,-0.001,535.048,336.269
100074.295,301.919,1.155,24.984,360.392,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,1.173,-0.002,535.048,336.269
100082.351,301.916,1.155,24.983,360.392,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.162,-0.001,535.048,336.269
100082.351,301.920,1.155,24.997,360.787,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.173,-0.000,535.048,336.269
100074.295,301.914,1.155,24.987,360.471,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.183,0.000,535.048,336.269
100074.295,301.909,1.155,24.989,360.550,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,1.173,0.000,535.048,336.269
100074.295,301.914,1.155,24.987,360.471,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.183,-0.000,535.048,336.269
100074.295,301.914,1.155,24.995,360.708,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.162,-0.002,535.048,336.269
100086.379,301.912,1.155,24.991,360.629,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.193,-0.002,535.048,336.269
100086.379,301.922,1.155,24.983,360.392,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.193,-0.001,535.048,336.269
100078.323,301.919,1.155,24.984,360.392,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,1.173,-0.001,535.048,336.269
100086.379,301.916,1.155,24.983,360.392,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,1.183,-0.000,535.048,336.269
100086.379,301.917,1.155,24.980,360.313,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.173,0.000,535.048,336.269
100094.435,301.914,1.155,24.981,360.392,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,1.183,0.000,535.048,336.269
100090.407,301.911,1.155,24.982,360.392,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,1.183,-0.002,535.048,336.269
100086.379,301.914,1.155,24.982,360.392,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1.183,-0.000,535.048,336.269
